ID,Roomtype
26,"Serverräume"
24,"Technikräume"
31,"Schächte"
24,"Technikräume"
20,"Umkleiden"
24,"Technikräume"
24,"Technikräume"
26,"Serverräume"
24,"Technikräume"
24,"Technikräume"
31,"Schächte"
24,"Technikräume"
21,"Putzräume"
32,"Aufzüge"
33,"technische Flure"
33,"technische Flure"
32,"Aufzüge"
19,"Duschen"
19,"Duschen"
19,"Duschen"
17,"WCs"
30,"Treppenhäuser"
33,"technische Flure"
33,"technische Flure"
22,"Lager"
22,"Lager"
22,"Lager"
22,"Lager"
22,"Lager"
22,"Lager"
22,"Lager"
25,"Technikräume Außenspange"
25,"Technikräume Außenspange"
31,"Schächte"
22,"Lager"
22,"Lager"
22,"Lager"
14,"Verkehrsflächen, Flure"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
7,"Laborräume chemisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
21,"Putzräume"
31,"Schächte"
24,"Technikräume"
26,"Serverräume"
26,"Serverräume"
14,"Verkehrsflächen, Flure"
24,"Technikräume"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
2,"Einzel-/Zweierbüros"
4,"Aufenthaltsräume/Cafeteria"
31,"Schächte"
24,"Technikräume"
13,"Erste-Hilfe-/Sanitätsraum"
4,"Aufenthaltsräume/Cafeteria"
3,"Seminar-/Besprechungsräume"
11,"Werkstatt Labor/Reinraum"
24,"Technikräume"
18,"WCs Beh."
17,"WCs"
17,"WCs"
14,"Verkehrsflächen, Flure"
14,"Verkehrsflächen, Flure"
4,"Aufenthaltsräume/Cafeteria"
4,"Aufenthaltsräume/Cafeteria"
4,"Aufenthaltsräume/Cafeteria"
22,"Lager"
29,"Drucker-/Kopierräume"
3,"Seminar-/Besprechungsräume"
,""
,""
25,"Technikräume Außenspange"
3,"Seminar-/Besprechungsräume"
,""
32,"Aufzüge"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
16,"Windfang"
16,"Windfang"
,""
30,"Treppenhäuser"
30,"Treppenhäuser"
17,"WCs"
30,"Treppenhäuser"
14,"Verkehrsflächen, Flure"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
6,"Laborräume physikalisch"
7,"Laborräume chemisch"
,""
7,"Laborräume chemisch"
