"Nr","Roomtype"
"1","Großraumbüros"
"2","Einzel-/Zweierbüros"
"3","Seminar-/Besprechungsräume"
"4","Aufenthaltsräume/Cafeteria"
"5","Foyers"
"6","Laborräume physikalisch"
"7","Laborräume chemisch"
"8","Reinraumbereiche"
"9","Subfab Reinraum"
"10","Plenum Reinraum"
"11","Werkstatt Labor/Reinraum"
"12","Lager Labor/Reinraum"
"13","Erste-Hilfe-/Sanitätsraum"
"14","Verkehrsflächen, Flure"
"15","Teeküchen"
"16","Windfang"
"17","WCs"
"18","WCs Beh."
"19","Duschen"
"20","Umkleiden"
"21","Putzräume"
"22","Lager"
"23","Pausenräume"
"24","Technikräume"
"25","Technikräume Außenspange"
"26","Serverräume"
"27","Müllräume"
"28","Batterieräume"
"29","Drucker-/Kopierräume"
"30","Treppenhäuser"
"31","Schächte"
"32","Aufzüge"
"33","technische Flure"
